,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bengkulu,-3.8,102.27,83.73,65,70,4.27,ID,1595647314
1,rikitea,-23.12,-134.97,68.5,76,0,20,PF,1595647234
2,albany,42.6,-73.97,73.99,70,0,2.17,US,1595647239
3,iskateley,67.68,53.15,63.95,62,0,9.71,RU,1595647367
4,belushya guba,20.45,121.97,85.66,78,42,12.39,PH,1595647367
5,basco,71.29,-156.79,35.6,80,90,11.41,US,1595647248
6,barrow,68.75,161.3,83.34,39,0,4.85,RU,1595647238
7,cherskiy,63.84,-22.43,41,80,40,18.34,IS,1595647368
8,grindavik,-3.37,135.48,82.06,78,100,3.96,ID,1595647368
9,nabire,38.89,-76.51,75.2,88,1,9.17,US,1595647241
10,mayo,27.44,115.5,92.43,65,100,2.28,CN,1595647368
11,tancheng,47.56,38.87,63.64,55,0,7,RU,1595647368
12,matveyev kurgan,-34.42,19.23,57,58,0,1.99,ZA,1595646955
13,hermanus,5.88,-10.05,75.2,100,75,8.43,LR,1595647368
14,buchanan,-33.65,115.33,63,61,98,5.01,AU,1595646958
15,busselton,-46.19,168.86,48.42,84,100,6.6,NZ,1595646961
16,mataura,33.67,-95.58,82.4,74,20,6.93,US,1595647369
17,lamar,50.7,-127.42,59,77,20,12.75,CA,1595647369
18,port hardy,-43.3,-65.1,42.33,65,0,20.45,AR,1595647181
19,rawson,-38.27,141.97,55.56,66,100,2.86,AU,1595647369
20,codrington,-9.8,-139.03,79.39,78,25,17.6,PF,1595647233
21,nizhneyansk,-23.79,-54.28,63.99,74,54,13.22,BR,1595647369
22,atuona,32.67,-17.1,68,77,20,24.16,PT,1595647255
23,eldorado,-33.01,17.94,46.4,65,0,3.69,ZA,1595647253
24,ponta do sol,63.91,38.14,54.84,73,0,3.83,RU,1595647370
25,saldanha,44.08,-103.23,77,47,1,8.01,US,1595647370
26,onega,-16.48,-151.75,77.34,77,98,17.85,PF,1595647063
27,rapid city,-53.15,-70.92,32,91,90,13.87,CL,1595647200
28,faanui,71.92,114.08,47.91,79,99,12.24,RU,1595647250
29,punta arenas,-21.21,-159.78,73.4,69,99,4.7,CK,1595647238
30,mys shmidta,19.73,-155.09,82.4,69,20,4.7,US,1595647050
31,saskylakh,53.39,-2.58,62.6,93,99,8.05,GB,1595647139
32,avarua,-20.37,14.97,55.53,39,0,12.86,NA,1595647371
33,hilo,11,122.67,85.37,71,100,1.19,PH,1595647251
34,warrington,-45.87,170.5,52,61,100,8.99,NZ,1595647254
35,khorixas,-33.92,25.57,53.6,40,0,5.82,ZA,1595647237
36,dingle,40.73,124.78,82.65,62,4,3.24,CN,1595647371
37,dunedin,69.38,178.42,52.48,59,63,11.05,RU,1595647263
38,port elizabeth,66.04,-17.34,44.6,75,90,4.7,IS,1595647018
39,kuandian,71.97,102.5,44.2,81,98,14.56,RU,1595647254
40,leningradskiy,42.1,-79.24,69.8,88,75,6.93,US,1595647232
41,husavik,-21.36,55.77,62.6,72,75,14.99,RE,1595647240
42,khatanga,69.45,-133.04,62.6,63,75,4.7,CA,1595647249
43,jamestown,-33.7,-53.46,46.42,89,99,12.64,UY,1595646985
44,saint-philippe,-20.33,-40.29,68,94,75,3.36,BR,1595647236
45,tuktoyaktuk,54.17,74.69,62.62,79,100,6.55,RU,1595647372
46,chuy,-35.17,173.17,55.85,65,92,7.4,NZ,1595647372
47,vila velha,-17.88,36.89,66.2,88,75,2.24,MZ,1595647372
48,novovarshavka,-19,-57.6,74.44,48,17,6.04,BR,1595647372
49,ahipara,8,124.29,82.99,77,99,8.01,PH,1595647256
50,quelimane,57.05,-135.33,57.2,76,90,12.75,US,1595647128
51,ladario,45.75,126.65,86,62,0,4.47,CN,1595647373
52,marawi,-26.79,-60.44,39.11,94,1,3.2,AR,1595647373
53,sitka,62.46,-114.35,59,87,90,8.05,CA,1595647239
54,harbin,42.25,-75.83,71.6,68,1,5.82,US,1595647246
55,presidencia roque saenz pena,3.07,172.79,83.3,75,30,18.48,KI,1595647241
56,yellowknife,4.23,13.45,67.42,97,97,2.59,CM,1595647373
57,broome,46.47,-120.67,73.4,28,1,21.92,US,1595647374
58,butaritari,68.35,-133.72,69.8,40,75,6.93,CA,1595647374
59,bengkalis,25.38,97.4,85.12,79,100,1.16,MM,1595647374
60,doume,-0.74,-90.35,66.99,96,70,5.99,EC,1595647079
61,burica,64.86,-147.8,60.8,67,90,10.29,US,1595647253
62,taolanaro,59.53,33.92,50.9,79,100,6.96,RU,1595647374
63,yakima,-42.78,147.06,55,77,100,1.63,AU,1595647236
64,inuvik,70.98,25.97,55.87,86,0,17.22,NO,1595647374
65,myitkyina,-33.59,26.89,66.2,26,0,14.12,ZA,1595647251
66,puerto ayora,70.86,29.09,57.67,82,0,11.88,NO,1595647375
67,college,-41.87,-73.82,48,93,90,16.11,CL,1595647375
68,senno,-22.97,-42.03,71.6,82,0,25.59,BR,1595647375
69,new norfolk,-54.8,-68.3,30.2,86,90,13.87,AR,1595647046
70,honningsvag,52.63,29.73,56.86,73,42,7.87,BY,1595647375
71,port alfred,-45.42,167.72,48.25,76,99,6.78,NZ,1595647068
72,berlevag,54.91,71.27,61.81,69,100,6.91,RU,1595647375
73,ancud,29.11,21.29,74.19,50,0,8.46,LY,1595647375
74,arraial do cabo,42.78,-9.06,62.01,84,1,1.01,ES,1595647241
75,ushuaia,-37.62,-73.65,47.48,78,100,11.54,CL,1595647234
76,svetlogorsk,-46.28,169.85,50.99,73,100,10.09,NZ,1595647057
77,te anau,49.11,21.52,61,82,100,1.12,SK,1595647376
78,isilkul,65.98,60.31,64.15,55,1,3.71,RU,1595647376
79,awjilah,70.63,147.92,80.92,35,54,4.07,RU,1595647244
80,muros,-2.23,-80.9,68,94,90,11.41,EC,1595647376
81,lebu,77.48,-69.36,43.79,61,0,3.29,GL,1595647232
82,kaitangata,20.42,104.04,87.94,47,46,1.59,LA,1595647376
83,giraltovce,71.69,128.87,50.04,87,43,10.49,RU,1595647377
84,verkhnyaya inta,60.05,69.9,59.94,56,85,5.3,RU,1595647377
85,chokurdakh,45.82,44.65,69.8,26,68,11.18,RU,1595647377
86,la libertad,-6.88,112.21,81.09,64,100,6.96,ID,1595647263
87,umzimvubu,63.01,112.47,58.71,72,80,14.16,RU,1595647377
88,qaanaaq,35.13,140.3,82.99,91,98,12.71,JP,1595647377
89,xam nua,-16.62,-72.71,58.46,80,20,10.98,PE,1595647377
90,tiksi,-24.87,113.63,73.4,27,0,8.05,AU,1595647242
91,gornopravdinsk,60.55,-151.26,57.2,87,90,1.83,US,1595647378
92,iki-burul,71,24.66,62.6,77,75,25.28,NO,1595647325
93,labuhan,36.62,-121.92,60.01,91,47,1.01,US,1595647010
94,chernyshevskiy,-21.64,-41.05,71.46,82,0,16.11,BR,1595647378
95,katsuura,-42.88,147.33,55,58,75,9.17,AU,1595647078
96,illoqqortoormiut,44.42,11.98,64,94,46,4.47,IT,1595647378
97,camana,35.73,140.83,84,88,75,8.05,JP,1595647252
98,barbar,-34,24.73,59.68,29,0,11.83,ZA,1595647255
99,carnarvon,60.72,-46.03,46.4,93,100,4.7,GL,1595647233
100,kenai,56.01,71.51,60.78,70,19,6.71,RU,1595647379
101,havoysund,22.68,-3.98,99.63,10,0,17.83,ML,1595647263
102,pacific grove,-34.53,20.04,44.6,93,0,5.82,ZA,1595647255
103,sao joao da barra,40.6,-124.16,60.01,76,1,10.29,US,1595647245
104,hobart,39.05,-27.98,69.69,82,0,12.15,PT,1595647379
105,ravenna,64.86,11.24,54.3,89,73,4.41,NO,1595647345
106,hasaki,73.51,80.55,41.07,96,100,16.62,RU,1595646966
107,lugovskiy,-6.72,32.07,53.56,71,0,4.79,TZ,1595647379
108,kruisfontein,24.02,92.9,82.4,74,40,1.19,IN,1595647146
109,qaqortoq,18.74,7.39,87.22,41,0,3.24,NE,1595647207
110,krutinka,-46.6,168.33,51.08,78,100,17.34,NZ,1595647230
111,taoudenni,42.91,129.51,73.18,67,100,9.44,CN,1595647380
112,bredasdorp,-24.79,-50.01,54.93,72,0,4.63,BR,1595646970
113,fortuna,37.1,-113.58,89.01,23,1,8.05,US,1595647254
114,lagoa,-2.92,-39.92,77.22,84,39,13.56,BR,1595647238
115,rorvik,54.95,49.07,64.4,68,74,6.71,RU,1595647380
116,dikson,-11.1,-77.61,60.33,86,53,8.59,PE,1595647248
117,inyonga,9.11,18.35,75.2,94,20,4.14,TD,1595647380
118,darlawn,-34.58,150.86,64,79,37,5.01,AU,1595647247
119,arlit,39.18,-84.53,75,83,1,2.8,US,1595647242
120,bluff,-31.95,141.43,64.4,45,0,10.29,AU,1595647381
121,yanji,15.33,120.95,89.13,62,3,4.81,PH,1595647381
122,castro,-37.83,140.77,55.4,66,54,8.05,AU,1595647381
123,saint george,4.25,9,77,94,40,8.05,CM,1595647381
124,itarema,41.19,40.99,73.4,94,75,4.7,TR,1595647381
125,bolgar,57.79,-152.41,60.8,72,90,3.36,US,1595647257
126,hualmay,50.6,95,73.09,35,25,5.66,RU,1595647382
127,kibala,28.23,83.98,75.09,79,96,0.36,NP,1595647382
128,flinders,22.89,-109.91,84,73,5,19.46,MX,1595647351
129,hamilton,-28.78,32.04,59.85,77,0,9.93,ZA,1595647382
