,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,broken hill,5.41,100.34,86,83,20,3.36,MY,1595647168
131,nieves,43.2,140.77,77,73,75,12.75,JP,1595647382
132,mount gambier,-38,-57.56,41,80,91,6.93,AR,1595647211
133,katsiveli,64.38,-173.3,50.58,68,100,3.2,RU,1595647241
134,idenao,52.52,99.83,68.22,39,2,2.04,RU,1595647382
135,ardesen,28.37,129.48,86,79,75,6.93,JP,1595647383
136,kodiak,69.49,88.4,57.2,58,10,20.13,RU,1595647383
137,samagaltay,16.86,-99.89,84.2,79,75,4.7,MX,1595647212
138,pokhara,10.03,-74.62,75.76,89,91,3.04,CO,1595647383
139,cabo san lucas,64.89,-23.71,45.43,76,51,12.28,IS,1595647383
140,richards bay,41.76,86.15,84.9,24,0,8.28,CN,1595647383
141,georgetown,-33.93,18.42,50,66,0,2.24,ZA,1595647232
142,yoichi,22.08,-159.32,82.99,69,20,18.34,US,1595647235
143,mar del plata,8.35,-62.65,81,81,40,1.01,VE,1595647384
144,provideniya,-33.02,27.91,65.03,26,0,5.5,ZA,1595646961
145,orlik,21.82,105.22,87.84,68,100,2.42,VN,1595647197
146,naze,61.47,-6.81,52.54,95,100,19.8,FO,1595647384
147,talnakh,61.99,5.14,50,87,25,4.7,NO,1595647384
148,acapulco,-26.65,15.16,62.6,27,0,3.36,NA,1595647384
149,chivolo,-30.69,-70.95,49.15,47,0,1.81,CL,1595647384
150,samusu,-8.93,125.41,71.94,42,64,5.46,TL,1595647384
151,olafsvik,-15.72,46.32,68,60,20,9.17,MG,1595647385
152,korla,65.61,-37.64,41,86,99,5.82,GL,1595647250
153,cape town,20.89,-156.47,87.8,55,40,26.4,US,1595647385
154,kapaa,16.52,-98.75,80.96,79,100,4.79,MX,1595647385
155,ciudad guayana,48.4,-89.32,68,82,90,6.93,CA,1595647335
156,jiddah,-3.7,128.18,82.4,74,40,5.82,ID,1595647385
157,east london,35.3,37.18,71.37,67,0,14.88,SY,1595647385
158,tuyen quang,-3.67,-45.38,72.46,82,23,1.99,BR,1595647385
159,vagur,55.34,-131.65,59,82,90,12.75,US,1595647262
160,raudeberg,-33.87,121.9,53.6,81,78,18.34,AU,1595647241
161,luderitz,46.54,138.33,64.15,71,49,5.39,RU,1595647386
162,monte patria,46.53,-87.63,75,77,43,10.54,US,1595647386
163,airai,11.92,109.16,91.4,66,20,5.82,VN,1595647386
164,mahajanga,-35.35,150.47,63,67,26,5.82,AU,1595647386
165,tasiilaq,-20.52,57.52,66.2,72,75,19.46,MU,1595647255
166,kahului,20.5,-10.07,90.9,29,3,10.22,MR,1595647011
167,tecoanapa,31.4,30.42,77,83,0,5.82,EG,1595647386
168,thunder bay,36.96,36.2,79,89,19,1.01,TR,1595647387
169,ambon,12.52,-70.03,82.4,78,20,18.34,AW,1595647248
170,abu samrah,38.96,41.03,68,56,0,8.05,TR,1595647387
171,santa ines,42.79,-96.17,82,83,1,11.41,US,1595647387
172,ketchikan,-20.41,57.7,66.2,72,75,19.46,MU,1595647387
173,esperance,-21.2,-175.2,71.6,94,90,5.82,TO,1595647240
174,svetlaya,56.19,52.48,59.23,90,100,7.34,RU,1595647387
175,marquette,52.54,62.49,61.16,85,57,12.03,KZ,1595647387
176,cam ranh,36.26,2.75,66.2,93,20,3.78,DZ,1595647388
177,ulladulla,39.37,-104.86,70,73,98,1.59,US,1595647388
178,souillac,-30.6,-71.2,50.36,59,0,2.26,CL,1595647388
179,adrar,18,-76.79,84.2,74,20,18.34,JM,1595647342
180,rosetta,68.71,-52.87,42.15,94,100,9.62,GL,1595647388
181,erzin,63.75,-68.51,46,81,75,2.24,CA,1595646984
182,oranjestad,27.91,-15.54,71.6,78,20,34.45,ES,1595647388
183,solhan,-2.57,150.8,85.39,72,19,11.54,PG,1595647242
184,le mars,33.19,-82.53,75.2,71,1,4.7,US,1595647255
185,mahebourg,36.29,-76.25,79,83,1,8.05,US,1595647254
186,vaini,9.49,50.81,77.43,63,67,25.39,SO,1595647389
187,barentsburg,-30.18,-50.21,58.78,89,100,11.36,BR,1595647070
188,saleaula,51.38,1.39,64.99,83,95,5.99,GB,1595647389
189,alnashi,-7.84,-79.15,61.12,85,44,4.34,PE,1595647261
190,lisakovsk,65.7,82.47,59.05,57,26,11.81,RU,1595647389
191,medea,59.17,5.87,50,93,40,8.05,NO,1595647389
192,castle rock,17.89,-77.59,77.61,84,90,12.3,JM,1595647390
193,ovalle,25.02,37.27,83.95,55,10,3.15,SA,1595647390
194,sorvag,-20.34,57.76,68,72,75,19.46,MU,1595647235
195,kingston,-13.7,-76.22,60.01,82,0,3.36,PE,1595647263
196,aasiaat,69.22,-51.1,44.6,93,100,9.17,GL,1595647390
197,iqaluit,46.43,26.4,61,94,1,3.49,RO,1595647237
198,santa lucia,53.83,-113.42,64.4,55,20,3.36,CA,1595647390
199,dolbeau,-13.13,39,63.43,71,82,9.75,MZ,1595647391
200,kavieng,42.83,-108.73,77,25,1,4.7,US,1595647391
201,avera,17.48,106.6,91.98,51,0,4.54,VN,1595647391
202,elizabeth city,-16.1,167.42,82.4,74,75,10.29,VU,1595647391
203,bandarbeyla,-20.32,118.57,78.8,19,0,19.46,AU,1595647391
204,cidreira,69.7,170.31,47.88,71,64,4.97,RU,1595647258
205,margate,55.74,-97.86,68,100,75,6.93,CA,1595647235
206,chicama,30.38,67.73,67.98,60,0,1.39,PK,1595647392
207,krasnoselkup,62.23,-6.59,51.8,100,100,8.05,FO,1595647392
208,judaberg,43.32,145.57,60.8,77,75,5.82,JP,1595647392
209,bull savanna,21.46,-71.14,83.86,80,44,23.78,TC,1595647116
210,tabiauea,-0.6,73.08,78.75,82,100,10.78,MV,1595647237
211,umm lajj,29.42,-98.49,93.2,49,20,18.34,US,1595647133
212,bambous virieux,30.48,-115.95,65.53,82,0,10.76,MX,1595647260
213,pisco,28.66,-17.92,69.8,77,20,13.87,ES,1595647392
214,temaraia,4.88,-1.76,74.21,90,0,9.35,GH,1595647376
215,ilulissat,-26.82,-65.22,44.6,53,0,19.46,AR,1595647393
216,asau,28.07,95.33,81.36,78,100,0.98,IN,1595647393
217,bon accord,-3.9,-38.39,77,83,20,5.82,BR,1595647393
218,montepuez,25.12,62.33,84.56,73,100,4.79,PK,1595647393
219,attawapiskat,43.19,-0.61,60.8,93,0,2.24,FR,1595647393
220,amderma,6.54,21.99,67.39,94,75,2.77,CF,1595647393
221,lander,52.45,64.63,61.93,85,87,15.41,KZ,1595647393
222,sentyabrskiy,38.52,-28.7,69.93,77,0,8.28,PT,1595647252
223,dong hoi,72.79,-56.15,46.31,84,94,7.67,GL,1595647261
224,lakatoro,4.38,-7.72,73.9,87,46,8.21,LR,1595647394
225,port hedland,31.37,-106.02,68,93,90,9.17,MX,1595647394
226,pevek,23.83,73.72,83.16,70,3,5.23,IN,1595647394
227,thompson,-20.01,57.66,68,57,47,11.01,MU,1595647394
228,ziarat,-35.1,173.78,57,3,88,3,NZ,1595647394
229,klaksvik,11.67,92.75,84.94,71,36,5.3,IN,1595647252
230,nemuro,33.6,56.92,91.4,19,0,2.24,IR,1595647394
231,cockburn town,54.83,99.13,68.95,50,84,7.56,RU,1595647394
232,hithadhoo,56.79,105.77,72.14,36,0,2.68,RU,1595647395
233,san antonio,26.18,127.76,87.8,74,90,11.41,JP,1595647233
234,san quintin,44.94,-91.39,79,74,1,9.17,US,1595646793
235,los llanos de aridane,7.1,4.83,69.28,99,81,2.39,NG,1595647395
236,takoradi,20.75,-105.33,84.2,74,75,5.82,MX,1595647395
237,tucuman,-19.06,-169.92,78.8,74,10,14.99,NU,1595647245
238,pasighat,26.56,31.69,82.4,34,0,9.17,EG,1595647395
239,aquiraz,53.79,-1.75,61,87,75,13.87,GB,1595647272
240,gwadar,65.82,87.98,60.15,64,96,1.52,RU,1595647395
241,oloron-sainte-marie,14.9,-24.5,76.84,81,65,0.54,CV,1595647260
242,aflu,11.39,122.69,84.96,74,100,2.46,PH,1595647396
243,bria,70.47,-68.59,39.2,100,1,6.93,CA,1595647242
244,kushmurun,46.09,41.93,69.64,45,73,10.74,RU,1595647396
245,ribeira grande,60.14,-45.24,44.71,91,100,3.15,GL,1595647248
246,upernavik,56.85,105.25,70.18,37,0,4.03,RU,1595647396
247,harper,17.02,54.09,78.8,88,75,6.93,OM,1595647206
248,praxedis guerrero,59.7,150.17,62.26,67,1,8.1,RU,1595647396
249,dungarpur,59.43,56.68,63,64,22,1.01,RU,1595647396
250,grand gaube,-20.73,139.5,77,23,0,6.93,AU,1595647397
251,kaeo,48.38,-4.62,62.6,93,90,14.99,FR,1595647397
252,port blair,-20.12,16.15,49.84,49,0,12.82,NA,1595647397
253,tabas,-6.98,-34.83,76.03,80,84,15.41,BR,1595647397
254,shumskiy,-2.02,147.27,83.84,78,89,10.51,PG,1595647397
255,ust-kut,14.4,46.47,75.92,69,51,7.02,YE,1595647260
256,nishihara,1.74,98.78,81.93,69,81,1.05,ID,1595647397
257,chippewa falls,-28.24,-48.67,66.2,93,40,12.75,BR,1595647397
258,ondo,-9.88,-56.09,76.91,46,36,3.44,BR,1595647397
259,bucerias,6.84,-72.69,51.75,88,85,3.29,CO,1595647398
260,alofi,64.75,177.48,55.4,76,16,11.18,RU,1595647398
261,sohag,-3.8,103.53,84.88,58,22,3.15,ID,1595647398
262,bradford,26.19,-97.7,87.01,74,40,6.93,US,1595647332
263,turukhansk,45.3,130.28,74.14,77,100,2.48,CN,1595647398
264,sao filipe,-1.77,-55.87,76.95,76,18,3.96,BR,1595647398
265,dao,-32.72,152.15,66,68,90,8.05,AU,1595647398
266,clyde river,5.38,-52.95,78.17,87,88,10.11,GF,1595647398
267,gorodovikovsk,-0.95,-80.73,69.8,88,40,11.41,EC,1595647398
268,nanortalik,-5.67,132.75,79.65,78,99,22.06,ID,1595647399
269,yantal,-17.73,-149.15,80.01,73,75,18.34,PF,1595647042
270,salalah,25.52,90.22,81.59,83,100,3.91,IN,1595647247
271,arman,58.84,125.49,63,93,100,2.28,RU,1595647399
272,usolye,32.69,128.84,75.2,83,75,14.99,JP,1595647247
273,mount isa,45.02,-93.22,84.99,70,1,9.17,US,1595647399
274,plouzane,59.7,30.79,55.4,87,75,8.95,RU,1595647233
275,vaitupu,6.5,2.6,77,88,40,11.41,BJ,1595647145
276,outjo,40.7,-73.33,75.2,83,1,5.57,US,1595647400
277,cabedelo,27.74,66.64,84.87,43,8,3.2,PK,1595647400
278,lorengau,61.95,159.23,60.49,69,0,11.16,RU,1595647400
279,marzuq,-28.65,153.62,62.6,93,75,6.93,AU,1595647400
280,sibolga,14.69,-17.44,80.6,83,20,10.29,SN,1595647400
281,imbituba,41.81,126.91,88.32,38,0,2.91,CN,1595647400
282,alta floresta,35.62,-117.67,96.8,8,20,4.7,US,1595647400
283,cerrito,44.38,-89.82,75.2,73,1,5.82,US,1595647401
284,anadyr,44.83,78.82,73.56,40,0,2.19,KZ,1595647401
285,lahat,9.97,98.63,89.6,70,40,3.36,TH,1595647401
286,harlingen,42.95,72.76,80.98,34,9,3.98,KZ,1595647206
287,linkou,3.81,43.25,70.43,74,16,20.76,SO,1595647401
288,oriximina,48.65,-53.11,55.83,97,57,0.58,CA,1595647401
289,nelson bay,1.64,18.07,71.37,80,59,2.1,CG,1595647401
290,sinnamary,63.44,-20.27,49.24,67,0,6.8,IS,1595647236
291,manta,41.37,-73.41,71.01,94,1,0.54,US,1595647099
292,tual,56.95,90.67,66.87,60,100,7.7,RU,1595647402
293,tautira,61.28,108.01,62.22,64,45,12.71,RU,1595647402
294,tura,-10.44,-62.47,76.64,49,55,1.61,BR,1595647402
295,tsihombe,25.05,61.74,84.38,72,93,4,PK,1595647402
296,nizhniy kuranakh,50.68,156.12,53.8,77,100,5.28,RU,1595647252
297,fukue,29.92,73.88,93.22,44,31,9.89,IN,1595647402
298,saint anthony,4.14,96.13,83.21,74,27,1.7,ID,1595647258
299,nikolskoye,33.11,130.09,78.8,88,75,14.99,JP,1595647402
300,porto novo,36.37,30.29,82.58,41,0,1.57,TR,1595647402
301,babylon,-51.62,-69.22,33.8,86,4,5.82,AR,1595647252
302,khuzdar,71.04,27.85,59.27,79,0,13.06,NO,1595647403
303,evensk,22.29,114.16,93,63,96,8.99,HK,1595647216
304,aybak,0.8,127.4,83.55,70,73,0.6,ID,1595647403
305,byron bay,34.67,138.95,82.4,88,75,18.34,JP,1595647403
306,ngukurr,62.58,6.13,50,87,20,11.41,NO,1595647403
307,dakar,60.1,19.93,44.6,100,34,1.12,AX,1595647403
308,linjiang,57.34,36.05,48.99,86,52,4.56,RU,1595647403
309,ridgecrest,-8.47,118.72,84.22,49,100,7.23,ID,1595647404
310,wisconsin rapids,50.27,-5.05,63,93,98,11.41,GB,1595647404
311,tekeli,50.03,-66.87,64.99,88,40,2.24,CA,1595647404
312,ranong,-0.61,-47.36,79.36,83,86,10.22,BR,1595647404
313,lugovoy,45.52,-122.68,66.99,62,77,9.1,US,1595647227
314,wajid,44.08,-80.2,66,88,1,2.24,CA,1595647404
315,bonavista,42.14,-8.81,63,87,0,2.24,ES,1595647404
316,impfondo,11.28,-15.83,79.93,83,99,15.37,GW,1595647404
317,vestmannaeyjar,27.98,-114.06,65.39,84,0,13.87,MX,1595647260
318,bethel,62.16,-7.17,51.8,100,100,8.05,FO,1595647405
319,novobirilyussy,19.22,-104.7,84.2,79,75,6.73,MX,1595647233
320,yerbogachen,-23.49,-58.8,50.2,79,100,9.04,PY,1595647405
321,jaru,48.33,1,60.01,87,75,3.36,FR,1595647405
322,jiwani,-17.53,-149.33,80.01,73,75,18.34,PF,1595647246
323,severo-kurilsk,5.95,80.54,79.84,85,100,8.88,LK,1595647405
324,ganganagar,69.77,21.02,60.19,80,100,6.17,NO,1595647405
325,meulaboh,56.45,138.17,56.59,75,3,7.74,RU,1595647405
326,kashima,43.06,44.74,66.2,82,62,4.47,RU,1595647406
327,kumluca,46.68,113.28,76.98,58,99,3.85,MN,1595647406
328,rio gallegos,20.12,-104.33,68.18,80,100,3.24,MX,1595647406
329,haapu,24.08,89.62,85.17,73,26,7.9,BD,1595647406
330,mehamn,50.72,136.63,70.39,58,73,4,RU,1595647406
331,victoria,47.67,-52.73,55.99,100,90,3.36,CA,1595646989
332,ternate,78.22,15.64,53.6,81,11,14.99,SJ,1595647233
333,shimoda,18.42,-64.62,84,83,0,25.99,VG,1595647406
334,roald,65.28,-126.83,69.8,43,20,5.82,CA,1595647239
335,maarianhamina,-14.66,17.69,42.96,64,36,4.09,AO,1595647407
336,rameshki,33.35,64.42,66.06,29,0,7.2,AF,1595647407
337,bima,35.91,111.32,73,69,98,3.11,CN,1595647407
338,truro,46.32,38.75,64.4,54,0,10.36,RU,1595647407
339,port-cartier,47.17,-55.15,58.53,95,36,6.76,CA,1595647407
340,salinopolis,54.1,123.57,66.27,95,100,3.76,RU,1595647407
341,portland,50.2,-66.38,64.99,88,40,2.24,CA,1595647407
342,shelburne,-29.68,-53.81,50,93,90,3.36,BR,1595647256
343,nigran,31.35,27.25,69.8,88,0,8.66,EG,1595647407
344,bubaque,59.6,60.58,58.24,60,2,5.99,RU,1595647408
345,guerrero negro,63.28,118.33,63.5,90,82,8.23,RU,1595647408
346,vestmanna,-9.67,-35.74,69.8,88,20,14.29,BR,1595647288
347,san patricio,46.49,135.88,68.43,85,76,2.44,RU,1595647408
348,pozo colorado,-7.99,38.76,64.94,84,0,1.54,TZ,1595647408
349,nogent-le-rotrou,-20.23,164.02,75.72,82,0,16.96,NC,1595646997
350,tiarei,18.09,-15.98,80.6,88,1,10.29,MR,1595647408
351,matara,-5.37,-49.12,73.51,63,66,0.51,BR,1595647408
352,storslett,68.05,39.51,58.6,79,1,11.79,RU,1595647150
353,ayan,-46.13,167.68,51.66,73,98,7.58,NZ,1595647409
354,oktyabrskoye,-21.15,149.2,75,73,90,12.75,AU,1595647409
355,baruun-urt,-34.57,146.4,57,71,53,5.82,AU,1595647409
356,ayutla,60.92,-46.05,46.4,93,100,4.7,GL,1595647231
357,bera,55.87,-2.09,57.99,93,100,11.45,GB,1595647409
358,solnechnyy,-29.95,-71.34,50,71,0,4.7,CL,1595647258
359,torbay,36.85,-75.98,81,85,90,6.8,US,1595646987
360,longyearbyen,-3.77,-70.38,75.2,100,75,2.24,CO,1595647409
361,road town,10.7,37.07,57.09,98,100,2.1,ET,1595647410
362,norman wells,-22.12,14.28,66,26,0,1.01,NA,1595647410
363,menongue,34.64,-120.46,60.8,82,20,6.93,US,1595646993
364,taywarah,-2.79,-57.07,77.45,70,14,1.72,BR,1595647410
365,gucheng,41.74,13.15,70,80,0,2.13,IT,1595647410
366,novoderevyankovskaya,-20.74,116.85,76.98,29,0,19.71,AU,1595647410
367,marystown,-15.77,128.73,84.2,17,0,14.99,AU,1595647236
368,takhtamygda,54.17,86.55,65.59,80,75,7.49,RU,1595647410
369,chagda,-31.47,19.78,60.8,29,0,12.75,ZA,1595647410
370,sept-iles,66.71,27.43,50.16,90,0,6.8,FI,1595647411
371,santa maria,34.95,-81.93,72,88,1,0.96,US,1595647221
372,marsa matruh,12.93,79.13,82.44,68,100,5.23,IN,1595647411
373,serov,40.8,-124.16,60.01,48,2,1.01,US,1595647411
374,nyurba,12.55,77.42,75.99,83,40,9.17,IN,1595647411
375,maceio,-23.4,21.72,42.42,65,0,9.13,BW,1595647411
376,vostok,59.57,150.8,60.62,70,0,8.99,RU,1595647411
377,utete,-34.93,138.6,66,54,20,6.93,AU,1595647357
378,poum,-16.7,-151.02,77.99,74,100,16.49,PF,1595647411
379,nouakchott,-8.6,-38.57,66.81,84,84,11.12,BR,1595647412
380,maraba,44.74,-81.13,63,93,5,3.36,CA,1595647412
381,ostrovnoy,8.35,100.2,91.4,70,20,3.36,TH,1595647412
382,tuatapere,70.37,31.11,56.66,86,0,11.68,NO,1595647412
383,mackay,-8.77,160.7,83.75,76,100,7.34,SB,1595647412
384,leeton,10.99,-74.95,80.6,88,40,3.36,CO,1595647413
385,narsaq,60.42,134.53,83.64,32,0,11.27,RU,1595647413
386,eyemouth,-22.67,167.48,71.33,81,1,15.97,NC,1595647413
387,hihifo,4.25,-54.38,72.25,96,99,1.99,GF,1595647413
388,coquimbo,22.29,91.98,84.2,79,75,8.05,BD,1595647413
389,virginia beach,40.87,-124.08,60.8,67,1,6.93,US,1595647244
390,puerto narino,21.64,69.61,84.61,76,91,9.84,IN,1595647414
